['9', '9', '9']
['2', '2', '2']
['15', '1', '1']
['8', '1', '1']
['19', '19', '9']
['13', '12', '12']
['23', '13', '8']
['16', '21', '24']
['23', '14', '26']
['8', '18', '25']
['12', '9', '22']
['26', '21', '2']
['24', '24', '24']
['18', '18', '18']
['10', '10', '10']
['15', '15', '15']
['12', '12', '12']
['26', '26', '26']
['7', '7', '7']
['6', '6', '6']
['8', '8', '8']
['13', '13', '13']
['6', '6', '25']
['17', '15', '19']
['8', '24', '19']
['26', '18', '14']
['4', '24', '8']
['6', '4', '7']
['8', '17', '27']
['8', '13', '8']
['8', '22', '1']
['9', '12', '25']
['27', '5', '22']
['17', '14', '15']
['5', '21', '21']
['21', '22', '13']
['15', '22', '8']
['21', '6', '6']
['21', '21', '5']
['24', '16', '12']
['6', '26', '4']
['27', '18', '12']
['24', '12', '12']
['6', '8', '4']
['22', '15', '12']
['7', '5', '22']
['21', '13', '9']
['5', '18', '5']
['7', '23', '23']
['23', '16', '2']
['22', '26', '29']
['5', '5', '23']
['8', '19', '22']
['24', '15', '12']
['15', '8', '23']
['2', '8', '27']
['5', '15', '2']
['24', '4', '7']
['22', '21', '8']
['11', '27', '17']
['15', '26', '7']
['17', '27', '27']
['8', '12', '22']
['24', '25', '4']
['10', '23', '26']
['10', '8', '19']
['8', '8', '9']
['9', '14', '14']
['29', '15', '10']
['26', '8', '3']
['4', '19', '18']
['24', '10', '24']
['23', '15', '27']
['17', '16', '13']
['15', '5', '21']
['15', '21', '22']
['15', '14', '27']
['21', '19', '6']
['4', '8', '21']
['15', '17', '22']
['21', '8', '24']
['19', '7', '5']
['8', '15', '10']
['22', '25', '19']
['15', '27', '21']
['25', '22', '5']
['15', '26', '25']
['25', '25', '9']
['6', '29', '2']
['29', '17', '16']
['21', '3', '19']
['9', '19', '22']
['15', '15', '22']
['18', '23', '29']
['29', '14', '18']
['7', '21', '26']
['22', '5', '8']
['21', '9', '19']
['19', '7', '19']
['4', '5', '8']
['7', '15', '2']
['16', '23', '2']
['16', '5', '18']
['18', '14', '14']
